Catalog Number,Inventory number,Suffix,Date D,Date M,Date P,PTS,Country,Place,Area,Locality,Formation,Member,Level,Age G1,Age G2,Anatomical part,Anatomical description,Taxonomy 1,Taxonomy 2,TR,Discoverer,Reference of first mention,Reference of description,Reference of taxonomical allocation,Reference of dating,Part
KNM-ER 1800a,KNM-ER 1800,A,1973,1974,1991,18,Kenya,Koobi Fora,130,#,Koobi Fora,Upper Burgi,GPC -,1.88-1.90,1.88-1.90,C,Parietal frag.,Hominine GSI,Hominine GSI,GSI,M. Muluila,"Leakey, 1974","Wood, 1991","Wood, 1991","Feibel et al., 1989",east
KNM-ER 1800b,KNM-ER 1800,B,1973,1974,1991,18,Kenya,Koobi Fora,130,#,Koobi Fora,Upper Burgi,GPC -,1.88-1.90,1.88-1.90,C,R occipital frag.,Hominine GSI,Hominine GSI,GSI,M. Muluila,"Leakey, 1974","Wood, 1991","Wood, 1991","Feibel et al., 1989",east
KNM-ER 1800c,KNM-ER 1800,C,1973,1974,1991,18,Kenya,Koobi Fora,130,#,Koobi Fora,Upper Burgi,GPC -,1.88-1.90,1.88-1.90,C,Non diagnostic cranial frag.,Hominine GSI,Hominine GSI,GSI,M. Muluila,"Leakey, 1974","Wood, 1991","Wood, 1991","Feibel et al., 1989",east
KNM-ER 1800d,KNM-ER 1800,D,1973,1974,1991,18,Kenya,Koobi Fora,130,#,Koobi Fora,Upper Burgi,GPC -,1.88-1.90,1.88-1.90,C,Non diagnostic cranial frag.,Hominine GSI,Hominine GSI,GSI,M. Muluila,"Leakey, 1974","Wood, 1991","Wood, 1991","Feibel et al., 1989",east
KNM-ER 1800e,KNM-ER 1800,E,1973,1974,1991,18,Kenya,Koobi Fora,130,#,Koobi Fora,Upper Burgi,GPC -,1.88-1.90,1.88-1.90,C,Non diagnostic cranial frag.,Hominine GSI,Hominine GSI,GSI,M. Muluila,"Leakey, 1974","Wood, 1991","Wood, 1991","Feibel et al., 1989",east
KNM-ER 1800f,KNM-ER 1800,F,1973,1974,1991,18,Kenya,Koobi Fora,130,#,Koobi Fora,Upper Burgi,GPC -,1.88-1.90,1.88-1.90,C,Non diagnostic cranial frag.,Hominine GSI,Hominine GSI,GSI,M. Muluila,"Leakey, 1974","Wood, 1991","Wood, 1991","Feibel et al., 1989",east
KNM-ER 1800g,KNM-ER 1800,G,1973,1974,1991,18,Kenya,Koobi Fora,130,#,Koobi Fora,Upper Burgi,GPC -,1.88-1.90,1.88-1.90,C,Non diagnostic cranial frag.,Hominine GSI,Hominine GSI,GSI,M. Muluila,"Leakey, 1974","Wood, 1991","Wood, 1991","Feibel et al., 1989",east
KNM-ER 1800h,KNM-ER 1800,H,1973,1974,1991,18,Kenya,Koobi Fora,130,#,Koobi Fora,Upper Burgi,GPC -,1.88-1.90,1.88-1.90,C,Non diagnostic cranial frag.,Hominine GSI,Hominine GSI,GSI,M. Muluila,"Leakey, 1974","Wood, 1991","Wood, 1991","Feibel et al., 1989",east
KNM-ER 1800i,KNM-ER 1800,I,1973,1974,1991,18,Kenya,Koobi Fora,130,#,Koobi Fora,Upper Burgi,GPC -,1.88-1.90,1.88-1.90,C,Non diagnostic cranial frag.,Hominine GSI,Hominine GSI,GSI,M. Muluila,"Leakey, 1974","Wood, 1991","Wood, 1991","Feibel et al., 1989",east
KNM-ER 1800j,KNM-ER 1800,J,1973,1974,1991,18,Kenya,Koobi Fora,130,#,Koobi Fora,Upper Burgi,GPC -,1.88-1.90,1.88-1.90,C,Non diagnostic cranial frag.,Hominine GSI,Hominine GSI,GSI,M. Muluila,"Leakey, 1974","Wood, 1991","Wood, 1991","Feibel et al., 1989",east
KNM-ER 1800k,KNM-ER 1800,K,1973,1974,1991,18,Kenya,Koobi Fora,130,#,Koobi Fora,Upper Burgi,GPC -,1.88-1.90,1.88-1.90,C,Non diagnostic cranial frag.,Hominine GSI,Hominine GSI,GSI,M. Muluila,"Leakey, 1974","Wood, 1991","Wood, 1991","Feibel et al., 1989",east
KNM-ER 1800l,KNM-ER 1800,L,1973,1974,1991,18,Kenya,Koobi Fora,130,#,Koobi Fora,Upper Burgi,GPC -,1.88-1.90,1.88-1.90,C,Non diagnostic cranial frag.,Hominine GSI,Hominine GSI,GSI,M. Muluila,"Leakey, 1974","Wood, 1991","Wood, 1991","Feibel et al., 1989",east
KNM-ER 1800m,KNM-ER 1800,M,1973,1974,1991,18,Kenya,Koobi Fora,130,#,Koobi Fora,Upper Burgi,GPC -,1.88-1.90,1.88-1.90,C,Non diagnostic cranial frag.,Hominine GSI,Hominine GSI,GSI,M. Muluila,"Leakey, 1974","Wood, 1991","Wood, 1991","Feibel et al., 1989",east
KNM-ER 1800n,KNM-ER 1800,N,1973,1974,1991,18,Kenya,Koobi Fora,130,#,Koobi Fora,Upper Burgi,GPC -,1.88-1.90,1.88-1.90,C,Non diagnostic cranial frag.,Hominine GSI,Hominine GSI,GSI,M. Muluila,"Leakey, 1974","Wood, 1991","Wood, 1991","Feibel et al., 1989",east
KNM-ER 1800o,KNM-ER 1800,O,1973,1974,1991,18,Kenya,Koobi Fora,130,#,Koobi Fora,Upper Burgi,GPC -,1.88-1.90,1.88-1.90,C,Non diagnostic cranial frag.,Hominine GSI,Hominine GSI,GSI,M. Muluila,"Leakey, 1974","Wood, 1991","Wood, 1991","Feibel et al., 1989",east
KNM-ER 1800p,KNM-ER 1800,P,1973,1974,1991,18,Kenya,Koobi Fora,130,#,Koobi Fora,Upper Burgi,GPC -,1.88-1.90,1.88-1.90,C,Non diagnostic cranial frag.,Hominine GSI,Hominine GSI,GSI,M. Muluila,"Leakey, 1974","Wood, 1991","Wood, 1991","Feibel et al., 1989",east
KNM-ER 1800q,KNM-ER 1800,Q,1973,1974,1991,18,Kenya,Koobi Fora,130,#,Koobi Fora,Upper Burgi,GPC -,1.88-1.90,1.88-1.90,C,Non diagnostic cranial frag.,Hominine GSI,Hominine GSI,GSI,M. Muluila,"Leakey, 1974","Wood, 1991","Wood, 1991","Feibel et al., 1989",east
KNM-ER 1800r,KNM-ER 1800,R,1973,1974,1991,18,Kenya,Koobi Fora,130,#,Koobi Fora,Upper Burgi,GPC -,1.88-1.90,1.88-1.90,C,Non diagnostic cranial frag.,Hominine GSI,Hominine GSI,GSI,M. Muluila,"Leakey, 1974","Wood, 1991","Wood, 1991","Feibel et al., 1989",east
KNM-ER 1800s,KNM-ER 1800,S,1973,1974,1991,18,Kenya,Koobi Fora,130,#,Koobi Fora,Upper Burgi,GPC -,1.88-1.90,1.88-1.90,C,Non diagnostic cranial frag.,Hominine GSI,Hominine GSI,GSI,M. Muluila,"Leakey, 1974","Wood, 1991","Wood, 1991","Feibel et al., 1989",east
KNM-ER 1800t,KNM-ER 1800,T,1973,1974,1991,18,Kenya,Koobi Fora,130,#,Koobi Fora,Upper Burgi,GPC -,1.88-1.90,1.88-1.90,C,Non diagnostic cranial frag.,Hominine GSI,Hominine GSI,GSI,M. Muluila,"Leakey, 1974","Wood, 1991","Wood, 1991","Feibel et al., 1989",east
KNM-ER 1800u,KNM-ER 1800,U,1973,1974,1991,18,Kenya,Koobi Fora,130,#,Koobi Fora,Upper Burgi,GPC -,1.88-1.90,1.88-1.90,C,Non diagnostic cranial frag.,Hominine GSI,Hominine GSI,GSI,M. Muluila,"Leakey, 1974","Wood, 1991","Wood, 1991","Feibel et al., 1989",east
KNM-ER 1800v,KNM-ER 1800,V,1973,1974,1991,18,Kenya,Koobi Fora,130,#,Koobi Fora,Upper Burgi,GPC -,1.88-1.90,1.88-1.90,C,Non diagnostic cranial frag.,Hominine GSI,Hominine GSI,GSI,M. Muluila,"Leakey, 1974","Wood, 1991","Wood, 1991","Feibel et al., 1989",east
KNM-ER 1800w,KNM-ER 1800,W,1973,1974,1991,18,Kenya,Koobi Fora,130,#,Koobi Fora,Upper Burgi,GPC -,1.88-1.90,1.88-1.90,C,Non diagnostic cranial frag.,Hominine GSI,Hominine GSI,GSI,M. Muluila,"Leakey, 1974","Wood, 1991","Wood, 1991","Feibel et al., 1989",east
KNM-ER 1801,KNM-ER 1801,#,1973,1974,1976,3,Kenya,Koobi Fora,131,#,Koobi Fora,Upper Burgi,F -,1.98-2.09,1.98-2.09,M,L mandible,H. habilis,H. rudolfensis,NTN,W. Mangao,"Leakey, 1974","Day et al., 1976","Wood, 1991","Joordens et al., 2013",east
KNM-ER 1802a,KNM-ER 1802,A,1973,1974,1976,3,Kenya,Koobi Fora,131,#,Koobi Fora,Upper Burgi,GPC -,1.98-2.09,1.98-2.09,M,Mandible without ramus,H. habilis,H. rudolfensis,NTN,J.M. Harris,"Leakey, 1974","Day et al., 1976","Wood, 1991","Joordens et al., 2013",east
KNM-ER 1802b,KNM-ER 1802,B,1973,1974,1976,3,Kenya,Koobi Fora,131,#,Koobi Fora,Upper Burgi,GPC -,1.98-2.09,1.98-2.09,T,M3 frag.,H. habilis,H. rudolfensis,NTN,J.M. Harris,"Leakey, 1974","Day et al., 1976","Wood, 1991","Joordens et al., 2013",east
KNM-ER 1803,KNM-ER 1803,#,1973,1974,1976,3,Kenya,Koobi Fora,131,#,Koobi Fora,Upper Burgi,KBS - 15m,1.95-1.98,1.93-1.97,M,R mandibular body frag.,P. boisei,P. boisei,CTA,W. Mangao,"Leakey, 1974","Day et al., 1976","Wood, 1991","Joordens et al., 2013; Phillips et al., 2023",east
KNM-ER 1804,KNM-ER 1804,#,1973,1974,1976,3,Kenya,Koobi Fora,104,#,Koobi Fora,KBS,A2 - 4m,1.73-1.75,1.73-1.75,C,R maxillary frag. with P3-M2,P. boisei,P. boisei,CTA,R. Holloway,"Leakey, 1974","Day et al., 1976","Wood, 1991","Feibel et al., 1989; Lepre and Kent, 2015",east
KNM-ER 1805a,KNM-ER 1805,A,1973,1974,1976,3,Kenya,Koobi Fora,130,#,Koobi Fora,KBS,KBS + 11m,1.80-1.90,1.70-1.80,C,Calvaria,H. habilis,H. habilis,NTN,P. Abell,"Leakey, 1974","Day et al., 1976","Wood, 1991","Feibel et al., 1989; McDougall et al., 2012; Mana et al., 2019",east
KNM-ER 1805b,KNM-ER 1805,B,1973,1974,1976,3,Kenya,Koobi Fora,130,#,Koobi Fora,KBS,KBS + 11m,1.80-1.90,1.70-1.80,C,Palate and part of face,H. habilis,H. habilis,NTN,P. Abell,"Leakey, 1974","Day et al., 1976","Wood, 1991","Feibel et al., 1989; McDougall et al., 2012; Mana et al., 2019",east
KNM-ER 1805c,KNM-ER 1805,C,1973,1974,1976,3,Kenya,Koobi Fora,130,#,Koobi Fora,KBS,KBS + 11m,1.80-1.90,1.70-1.80,M,Mandibular body,H. habilis,H. habilis,NTN,P. Abell,"Leakey, 1974","Day et al., 1976","Wood, 1991","Feibel et al., 1989; McDougall et al., 2012; Mana et al., 2019",east
KNM-ER 1805d,KNM-ER 1805,D,1973,1974,1976,3,Kenya,Koobi Fora,130,#,Koobi Fora,KBS,KBS + 11m,1.80-1.90,1.70-1.80,C,Occipital frag.,H. habilis,H. habilis,NTN,P. Abell,"Leakey, 1974","Day et al., 1976","Wood, 1991","Feibel et al., 1989; McDougall et al., 2012; Mana et al., 2019",east
KNM-ER 1805e,KNM-ER 1805,E,1973,1974,1976,3,Kenya,Koobi Fora,130,#,Koobi Fora,KBS,KBS + 11m,1.80-1.90,1.70-1.80,T,Tooth frags.,H. habilis,H. habilis,NTN,P. Abell,"Leakey, 1974","Day et al., 1976","Wood, 1991","Feibel et al., 1989; McDougall et al., 2012; Mana et al., 2019",east
KNM-ER 1805f,KNM-ER 1805,F,1973,1974,1976,3,Kenya,Koobi Fora,130,#,Koobi Fora,KBS,KBS + 11m,1.80-1.90,1.70-1.80,C,Cranials frags.,H. habilis,H. habilis,NTN,P. Abell,"Leakey, 1974","Day et al., 1976","Wood, 1991","Feibel et al., 1989; McDougall et al., 2012; Mana et al., 2019",east
KNM-ER 1806a,KNM-ER 1806,A,1973,1974,1976,3,Kenya,Koobi Fora,130,#,Koobi Fora,KBS,KBS + 11m,1.80-1.90,1.70-1.80,M,L mandibular body frag.,P. boisei,P. boisei,CTA,M.G. Leakey,"Leakey, 1974","Day et al., 1976","Wood, 1991","Feibel et al., 1989; McDougall et al., 2012; Mana et al., 2019",east
KNM-ER 1806b,KNM-ER 1806,B,1973,1974,1976,3,Kenya,Koobi Fora,130,#,Koobi Fora,KBS,KBS + 11m,1.80-1.90,1.70-1.80,M,R mandibular body frag.,P. boisei,P. boisei,CTA,M.G. Leakey,"Leakey, 1974","Day et al., 1976","Wood, 1991","Feibel et al., 1989; McDougall et al., 2012; Mana et al., 2019",east
KNM-ER 1806c,KNM-ER 1806,C,1973,1974,1976,3,Kenya,Koobi Fora,130,#,Koobi Fora,KBS,KBS + 11m,1.80-1.90,1.70-1.80,M,R mandible post. frag.,P. boisei,P. boisei,CTA,M.G. Leakey,"Leakey, 1974","Day et al., 1976","Wood, 1991","Feibel et al., 1989; McDougall et al., 2012; Mana et al., 2019",east
KNM-ER 1806d,KNM-ER 1806,D,1973,1974,1976,3,Kenya,Koobi Fora,130,#,Koobi Fora,KBS,KBS + 11m,1.80-1.90,1.70-1.80,M,L mandible post. frag.,P. boisei,P. boisei,CTA,M.G. Leakey,"Leakey, 1974","Day et al., 1976","Wood, 1991","Feibel et al., 1989; McDougall et al., 2012; Mana et al., 2019",east
KNM-ER 1806e,KNM-ER 1806,E,1973,1974,1976,3,Kenya,Koobi Fora,130,#,Koobi Fora,KBS,KBS + 11m,1.80-1.90,1.70-1.80,M,Mandibular ramus frag.,P. boisei,P. boisei,CTA,M.G. Leakey,"Leakey, 1974","Day et al., 1976","Wood, 1991","Feibel et al., 1989; McDougall et al., 2012; Mana et al., 2019",east
KNM-ER 1807,KNM-ER 1807,#,1973,1976,1976,3,Kenya,Koobi Fora,103,#,Koobi Fora,Okote,A7 + 21m,1.48-1.58,1.38-1.46,P,R femur 2/3 dist. frag.,Hominine GSI,Hominine GSI,GSI,K. Kimeu,"Day et al., 1976","Day et al., 1976","McHenry, 1994","Feibel et al., 1989; McDougall et al., 2012",east
KNM-ER 1808a,KNM-ER 1808,A,1973,1974,1985,12,Kenya,Koobi Fora,103,#,Koobi Fora,KBS,A6 - 2m,1.65-1.75,1.56-1.64,M,L mandibular body frag.,H. aff.  erectus,H. aff.  ergaster,NTA,K. Kimeu,"Leakey, 1974","Leakey and Walker, 1985","Wood, 1991","Feibel et al., 1989; McDougall et al., 2012",east
KNM-ER 1808b,KNM-ER 1808,B,1973,1974,1985,12,Kenya,Koobi Fora,103,#,Koobi Fora,KBS,A6 - 2m,1.65-1.75,1.56-1.64,M,Mandibular body frag.,H. aff.  erectus,H. aff.  ergaster,NTA,K. Kimeu,"Leakey, 1974","Leakey and Walker, 1985","Wood, 1991","Feibel et al., 1989; McDougall et al., 2012",east
KNM-ER 1808c,KNM-ER 1808,C,1973,1974,1985,12,Kenya,Koobi Fora,103,#,Koobi Fora,KBS,A6 - 2m,1.65-1.75,1.56-1.64,C,Maxillary frag.,H. aff.  erectus,H. aff.  ergaster,NTA,K. Kimeu,"Leakey, 1974","Leakey and Walker, 1985","Wood, 1991","Feibel et al., 1989; McDougall et al., 2012",east
KNM-ER 1808d,KNM-ER 1808,D,1973,1974,1985,12,Kenya,Koobi Fora,103,#,Koobi Fora,KBS,A6 - 2m,1.65-1.75,1.56-1.64,M,R mandibular condyle,H. aff.  erectus,H. aff.  ergaster,NTA,K. Kimeu,"Leakey, 1974","Leakey and Walker, 1985","Wood, 1991","Feibel et al., 1989; McDougall et al., 2012",east
KNM-ER 1808e,KNM-ER 1808,E,1973,1974,1985,12,Kenya,Koobi Fora,103,#,Koobi Fora,KBS,A6 - 2m,1.65-1.75,1.56-1.64,T,Lc,H. aff.  erectus,H. aff.  ergaster,NTA,K. Kimeu,"Leakey, 1974","Leakey and Walker, 1985","Wood, 1991","Feibel et al., 1989; McDougall et al., 2012",east
KNM-ER 1808f,KNM-ER 1808,F,1973,1974,1985,12,Kenya,Koobi Fora,103,#,Koobi Fora,KBS,A6 - 2m,1.65-1.75,1.56-1.64,T,P crown,H. aff.  erectus,H. aff.  ergaster,NTA,K. Kimeu,"Leakey, 1974","Leakey and Walker, 1985","Wood, 1991","Feibel et al., 1989; McDougall et al., 2012",east
KNM-ER 1808g,KNM-ER 1808,G,1973,1974,1985,12,Kenya,Koobi Fora,103,#,Koobi Fora,KBS,A6 - 2m,1.65-1.75,1.56-1.64,T,"Rm crown, probably m2",H. aff.  erectus,H. aff.  ergaster,NTA,K. Kimeu,"Leakey, 1974","Leakey and Walker, 1985","Wood, 1991","Feibel et al., 1989; McDougall et al., 2012",east
KNM-ER 1808h,KNM-ER 1808,H,1973,1974,1985,12,Kenya,Koobi Fora,103,#,Koobi Fora,KBS,A6 - 2m,1.65-1.75,1.56-1.64,T,"RM crown, probably M2",H. aff.  erectus,H. aff.  ergaster,NTA,K. Kimeu,"Leakey, 1974","Leakey and Walker, 1985","Wood, 1991","Feibel et al., 1989; McDougall et al., 2012",east
KNM-ER 1808i,KNM-ER 1808,I,1973,1974,1985,12,Kenya,Koobi Fora,103,#,Koobi Fora,KBS,A6 - 2m,1.65-1.75,1.56-1.64,T,Tooth frags.,H. aff.  erectus,H. aff.  ergaster,NTA,K. Kimeu,"Leakey, 1974","Leakey and Walker, 1985","Wood, 1991","Feibel et al., 1989; McDougall et al., 2012",east
KNM-ER 1808j,KNM-ER 1808,J,1973,1974,1985,12,Kenya,Koobi Fora,103,#,Koobi Fora,KBS,A6 - 2m,1.65-1.75,1.56-1.64,C,R temporal frag.,H. aff.  erectus,H. aff.  ergaster,NTA,K. Kimeu,"Leakey, 1974","Leakey and Walker, 1985","Wood, 1991","Feibel et al., 1989; McDougall et al., 2012",east
KNM-ER 1808k,KNM-ER 1808,K,1973,1974,1985,12,Kenya,Koobi Fora,103,#,Koobi Fora,KBS,A6 - 2m,1.65-1.75,1.56-1.64,C,L occipital frag.,H. aff.  erectus,H. aff.  ergaster,NTA,K. Kimeu,"Leakey, 1974","Leakey and Walker, 1985","Wood, 1991","Feibel et al., 1989; McDougall et al., 2012",east
KNM-ER 1808l,KNM-ER 1808,L,1973,1974,1985,12,Kenya,Koobi Fora,103,#,Koobi Fora,KBS,A6 - 2m,1.65-1.75,1.56-1.64,C,Frontal frag.,H. aff.  erectus,H. aff.  ergaster,NTA,K. Kimeu,"Leakey, 1974","Leakey and Walker, 1985","Wood, 1991","Feibel et al., 1989; McDougall et al., 2012",east
KNM-ER 1808m,KNM-ER 1808,M,1973,1974,1985,12,Kenya,Koobi Fora,103,#,Koobi Fora,KBS,A6 - 2m,1.65-1.75,1.56-1.64,P,Femur diaphysis distal 1/2,H. aff.  erectus,H. aff.  ergaster,NTA,K. Kimeu,"Leakey, 1974","Leakey and Walker, 1985","Wood, 1991","Feibel et al., 1989; McDougall et al., 2012",east
KNM-ER 1808n,KNM-ER 1808,N,1973,1974,1985,12,Kenya,Koobi Fora,103,#,Koobi Fora,KBS,A6 - 2m,1.65-1.75,1.56-1.64,P,R femur diaphysis prox. frag.,H. aff.  erectus,H. aff.  ergaster,NTA,K. Kimeu,"Leakey, 1974","Leakey and Walker, 1985","Wood, 1991","Feibel et al., 1989; McDougall et al., 2012",east
KNM-ER 1808o,KNM-ER 1808,O,1973,1974,1985,12,Kenya,Koobi Fora,103,#,Koobi Fora,KBS,A6 - 2m,1.65-1.75,1.56-1.64,P,R femur diaphysis prox. frag.,H. aff.  erectus,H. aff.  ergaster,NTA,K. Kimeu,"Leakey, 1974","Leakey and Walker, 1985","Wood, 1991","Feibel et al., 1989; McDougall et al., 2012",east
KNM-ER 1808p,KNM-ER 1808,P,1973,1974,1985,12,Kenya,Koobi Fora,103,#,Koobi Fora,KBS,A6 - 2m,1.65-1.75,1.56-1.64,P,L femur diaphysis frag.,H. aff.  erectus,H. aff.  ergaster,NTA,K. Kimeu,"Leakey, 1974","Leakey and Walker, 1985","Wood, 1991","Feibel et al., 1989; McDougall et al., 2012",east
KNM-ER 1808q,KNM-ER 1808,Q,1973,1974,1985,12,Kenya,Koobi Fora,103,#,Koobi Fora,KBS,A6 - 2m,1.65-1.75,1.56-1.64,P,"Long bone diaphysis, probably humerus",H. aff.  erectus,H. aff.  ergaster,NTA,K. Kimeu,"Leakey, 1974","Leakey and Walker, 1985","Wood, 1991","Feibel et al., 1989; McDougall et al., 2012",east
KNM-ER 1808r,KNM-ER 1808,R,1973,1974,1985,12,Kenya,Koobi Fora,103,#,Koobi Fora,KBS,A6 - 2m,1.65-1.75,1.56-1.64,P,L ilium frag.,H. aff.  erectus,H. aff.  ergaster,NTA,K. Kimeu,"Leakey, 1974","Leakey and Walker, 1985","Wood, 1991","Feibel et al., 1989; McDougall et al., 2012",east
KNM-ER 1808s,KNM-ER 1808,S,1973,1974,1985,12,Kenya,Koobi Fora,103,#,Koobi Fora,KBS,A6 - 2m,1.65-1.75,1.56-1.64,P,R ilium frag.,H. aff.  erectus,H. aff.  ergaster,NTA,K. Kimeu,"Leakey, 1974","Leakey and Walker, 1985","Wood, 1991","Feibel et al., 1989; McDougall et al., 2012",east
KNM-ER 1808t,KNM-ER 1808,T,1973,1974,1985,12,Kenya,Koobi Fora,103,#,Koobi Fora,KBS,A6 - 2m,1.65-1.75,1.56-1.64,P,Humerus dist. frag.,H. aff.  erectus,H. aff.  ergaster,NTA,K. Kimeu,"Leakey, 1974","Leakey and Walker, 1985","Wood, 1991","Feibel et al., 1989; McDougall et al., 2012",east
KNM-ER 1808u,KNM-ER 1808,U,1973,1974,1985,12,Kenya,Koobi Fora,103,#,Koobi Fora,KBS,A6 - 2m,1.65-1.75,1.56-1.64,P,Fibula frag.,H. aff.  erectus,H. aff.  ergaster,NTA,K. Kimeu,"Leakey, 1974","Leakey and Walker, 1985","Wood, 1991","Feibel et al., 1989; McDougall et al., 2012",east
KNM-ER 1808v,KNM-ER 1808,V,1973,1974,1985,12,Kenya,Koobi Fora,103,#,Koobi Fora,KBS,A6 - 2m,1.65-1.75,1.56-1.64,P,"Long bone frag., probably tibia",H. aff.  erectus,H. aff.  ergaster,NTA,K. Kimeu,"Leakey, 1974","Leakey and Walker, 1985","Wood, 1991","Feibel et al., 1989; McDougall et al., 2012",east
KNM-ER 1808w,KNM-ER 1808,W,1973,1974,1985,12,Kenya,Koobi Fora,103,#,Koobi Fora,KBS,A6 - 2m,1.65-1.75,1.56-1.64,P,"Long bone frag., probably radius",H. aff.  erectus,H. aff.  ergaster,NTA,K. Kimeu,"Leakey, 1974","Leakey and Walker, 1985","Wood, 1991","Feibel et al., 1989; McDougall et al., 2012",east
KNM-ER 1808x,KNM-ER 1808,X,1973,1974,1985,12,Kenya,Koobi Fora,103,#,Koobi Fora,KBS,A6 - 2m,1.65-1.75,1.56-1.64,P,"Long bone frag., probably radius",H. aff.  erectus,H. aff.  ergaster,NTA,K. Kimeu,"Leakey, 1974","Leakey and Walker, 1985","Wood, 1991","Feibel et al., 1989; McDougall et al., 2012",east
KNM-ER 1808y,KNM-ER 1808,Y,1973,1974,1985,12,Kenya,Koobi Fora,103,#,Koobi Fora,KBS,A6 - 2m,1.65-1.75,1.56-1.64,P,"Long bone frag., probably ulna",H. aff.  erectus,H. aff.  ergaster,NTA,K. Kimeu,"Leakey, 1974","Leakey and Walker, 1985","Wood, 1991","Feibel et al., 1989; McDougall et al., 2012",east
KNM-ER 1808z,KNM-ER 1808,Z,1973,1974,1985,12,Kenya,Koobi Fora,103,#,Koobi Fora,KBS,A6 - 2m,1.65-1.75,1.56-1.64,P,Atlas frag.,H. aff.  erectus,H. aff.  ergaster,NTA,K. Kimeu,"Leakey, 1974","Leakey and Walker, 1985","Wood, 1991","Feibel et al., 1989; McDougall et al., 2012",east
KNM-ER 1808aa,KNM-ER 1808,AA,1973,1974,1985,12,Kenya,Koobi Fora,103,#,Koobi Fora,KBS,A6 - 2m,1.65-1.75,1.56-1.64,C,Small cranial frags.,H. aff.  erectus,H. aff.  ergaster,NTA,K. Kimeu,"Leakey, 1974","Leakey and Walker, 1985","Wood, 1991","Feibel et al., 1989; McDougall et al., 2012",east
KNM-ER 1808ab,KNM-ER 1808,AB,1973,1974,1985,12,Kenya,Koobi Fora,103,#,Koobi Fora,KBS,A6 - 2m,1.65-1.75,1.56-1.64,P,Small postcranial frags.,H. aff.  erectus,H. aff.  ergaster,NTA,K. Kimeu,"Leakey, 1974","Leakey and Walker, 1985","Wood, 1991","Feibel et al., 1989; McDougall et al., 2012",east
KNM-ER 1808ae,KNM-ER 1808,AE,1973,1974,1985,12,Kenya,Koobi Fora,103,#,Koobi Fora,KBS,A6 - 2m,1.65-1.75,1.56-1.64,P,Right shaft humerus,H. aff.  erectus,H. aff.  ergaster,NTA,K. Kimeu,"Leakey, 1974","Leakey and Walker, 1985","Wood, 1991","Feibel et al., 1989; McDougall et al., 2012",east
KNM-ER 1808am,KNM-ER 1808,AM,1973,1974,1985,12,Kenya,Koobi Fora,103,#,Koobi Fora,KBS,A6 - 2m,1.65-1.75,1.56-1.64,P,Right shaft clavicle,H. aff.  erectus,H. aff.  ergaster,NTA,K. Kimeu,"Leakey, 1974","Leakey and Walker, 1985","Wood, 1991","Feibel et al., 1989; McDougall et al., 2012",east
KNM-ER 1809,KNM-ER 1809,#,1973,1976,1976,3,Kenya,Koobi Fora,121,#,Koobi Fora,KBS,KBS Mb,1.67-1.87,1.67-1.87,P,R femur diaphysis,Hominine GSI,Hominine GSI,GSI,K. Kimeu,"Day et al., 1976","Day et al., 1976","McHenry, 1994","Feibel et al., 1989",east
KNM-ER 1810,KNM-ER 1810,#,1973,1976,1976,3,Kenya,Koobi Fora,123,#,Koobi Fora,Upper Burgi,C4 - 7m,1.83-1.86,1.60-1.64,P,L tibia prox. frag.,Hominine GSI,Hominine GSI,GSI,M. Muluila,"Day et al., 1976","Day et al., 1976","McHenry, 1994","Gathogo and Brown, 2006; Feibel et al., 2009; Phillips et al., 2023",east
KNM-ER 1811a,KNM-ER 1811,A,1973,1974,1976,3,Kenya,Koobi Fora,123,#,Koobi Fora,KBS,C4 +,1.78-1.94,~1.58,M,L mandible frag.,Homo sp.,Homo sp.,SPI,R.E. Leakey,"Leakey, 1974","Day et al., 1976","Wood, 1991","Gathogo and Brown, 2006; Feibel et al., 2009; Phillips et al., 2023",east
KNM-ER 1811b,KNM-ER 1811,B,1973,1974,1976,3,Kenya,Koobi Fora,123,#,Koobi Fora,KBS,C4 +,1.78-1.94,~1.58,M,Mandible frag.,Homo sp.,Homo sp.,SPI,R.E. Leakey,"Leakey, 1974","Day et al., 1976","Wood, 1991","Gathogo and Brown, 2006; Feibel et al., 2009; Phillips et al., 2023",east
KNM-ER 1812a,KNM-ER 1812,A,1973,1974,1976,3,Kenya,Koobi Fora,123,#,Koobi Fora,Upper Burgi,C4 - 6m,1.78-1.94,1.60-1.64,M,R mandible ant. frag.,H. erectus,H. ergaster,NTN,W. Mangao,"Leakey, 1974","Day et al., 1976","Wood, 1991","Gathogo and Brown, 2006; Feibel et al., 2009",east
KNM-ER 1812b,KNM-ER 1812,B,1973,1974,1976,3,Kenya,Koobi Fora,123,#,Koobi Fora,Upper Burgi,C4 - 6m,1.78-1.94,1.60-1.64,T,Li2 crown,H. erectus,H. ergaster,NTN,W. Mangao,"Leakey, 1974","Day et al., 1976","Wood, 1991","Gathogo and Brown, 2006; Feibel et al., 2009",east
KNM-ER 1812c,KNM-ER 1812,C,1973,1974,1976,3,Kenya,Koobi Fora,123,#,Koobi Fora,Upper Burgi,C4 - 6m,1.78-1.94,1.60-1.64,T,"Lm crown, probably m3",H. erectus,H. ergaster,NTN,W. Mangao,"Leakey, 1974","Day et al., 1976","Wood, 1991","Gathogo and Brown, 2006; Feibel et al., 2009",east
